Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Nandi (Shiva’s Bull),Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts sacred bull vehicle of Shiva, seated or reclining. This life-size or near-life-size sculpture of Nandi is one of the largest stone animal sculptures in the museum. The bull is shown in a relaxed, seated posture with legs tucked under, head held high, and a hump on the neck. A bell hangs from the neck. The carving emphasizes the animal’s strength and tranquility. Nandi sculptures were placed facing the sanctum in every Shiva temple, serving as the gatekeeper and the devoted listener (it is believed that if you whisper your prayers in Nandi’s ear, he will convey them to Shiva). This particular example has a smooth polish and shows minimal wear, indicating it was housed indoors for centuries.",https://drive.google.com/file/d/1Xx6sRu6rFGqOOFeHSj_Qu12Jk1h_LP4d/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Dvarapala (Door Guardian),Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts armed warrior figure placed at temple entrances. Dvarapalas are fearsome guardian figures placed on either side of temple doors to ward off evil. This sculpture shows a stout, muscular figure wielding a large club (gada). His face is fierce with bulging eyes, flared nostrils, and a mustache. He wears a short dhoti, heavy jewelry, and a crown. One hand is on his hip, the other holds the club. The posture is one of alert readiness. This dvarapala likely formed a pair with a mirror-image counterpart now lost. The carving emphasizes bulging muscles and a sense of raw power. Such guardians were carved from the same black basalt as the main deity and were an integral part of the temple’s iconographic program.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Ganga-Yamuna Figural Bracket,Bangladesh National Museum,Sculpture,Black Basalt,11th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts river goddesses Ganga and Yamuna on mounts crocodile and tortoise. These bracket figures were used as architectural supports under the eaves of temples. The goddess Ganga stands on a crocodile (makara), and the goddess Yamuna stands on a tortoise (kurma). Both hold pots of water and lotus flowers. Their bodies are sensuously carved, with curved hips and elaborate jewelry. The figures are not freestanding but are carved in high relief against a slab that would have been attached to the temple wall. These goddesses are placed at the entrance of temples to purify the worshipper, symbolizing the sacred rivers of North India. Their presence in Bengal temples shows the spread of Ganges-Yamuna imagery from the heartland.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Salabhanjika (Female Figure on Tree),Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts female figure grasping tree branch, symbol of fertility. A salabhanjika is a female figure standing under a tree, holding a branch. The pose is highly stylized: the figure bends at the waist, one leg crossed over the other, arms reaching up to a flowering tree. This iconography originated from the ancient belief that women touching tree branches could cause the tree to flower (fertility magic). In temples, such figures were placed on pillars or walls as auspicious symbols. This particular salabhanjika has a playful expression, and the tree is rendered with dense foliage. Her jewelry and textiles are intricately carved. The figure’s nudity above the waist is typical for such auspicious female figures in medieval Indian art.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Gaja-Lakshmi (Gajalakshmi / Lakshmi Flanked by Elephants),Bangladesh National Museum,Sculpture,Black Basalt,c. 8th–9th century CE (early Pala period),"Jora Deul site, Rajshahi District, North Bengal",Gallery 6( History and Classical Art),,Excavation find,"Gaja-Lakshmi — gaja meaning elephant and Lakshmi the goddess of prosperity, fortune, and auspiciousness — is one of the oldest and most continuously reproduced sacred images in the entire Indian artistic tradition, appearing first on the railings of the Buddhist stupa at Sanchi (c. 1st century BCE) and persisting unbroken through the Pala period and beyond. The image encodes a precise theological idea: Lakshmi standing or seated at the cosmic centre, flanked symmetrically by two royal elephants who pour water or amrita (immortal nectar) over her head from raised vessels (kalasha) or from their trunks — an act of divine consecration (abhisheka) that simultaneously identifies her as the supreme goddess worthy of royal anointing and as the source of all abundance that flows from that anointing into the world.

In this sculpture, the goddess stands gracefully at the centre in a gentle tribhanga pose — the characteristic three-bend stance of classical Indian sculpture — her weight distributed with elegant composure. She holds lotus flowers (padma) in her raised hands, the lotus being her primary attribute and the symbol of purity, divine origin, and inexhaustible fertility. Her face carries the serene, inward-looking expression characteristic of the early Pala school — a subtle smile, half-closed eyes conveying meditative contentment rather than outward engagement, a face of composed divine authority. The ornamentation is carefully executed: a beaded necklace, armlets, a girdle with pendant ornaments, and ankle bangles are rendered with the minute attention to jewellery detail that defines North Bengal Pala carving, though the early Pala style retains a softness and restraint in these ornamental elements compared to the more lavish later 11th–12th century pieces.

The two flanking elephants are shown rearing or standing on either side, their trunks raised and curved toward the goddess, each pouring water from a vessel — the abhisheka stream falling over her head in the ancient consecration gesture that confers sovereignty and divine legitimacy. This bilateral symmetry creates the perfectly balanced, stable composition that makes the Gaja-Lakshmi image one of the most visually satisfying in all of Bengal's sculptural tradition. The elephants also carry their own iconographic weight: as symbols of the cardinal directions (dik-gaja), their presence implies that Lakshmi's sovereignty extends to all four corners of the universe.",https://drive.google.com/file/d/15cLxg-nRASCkF03udphyNG4g3vfX5xvL/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Shiva-Parvati Riding Nandi,Bangladesh National Museum,Sculpture,Black Basalt,11th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts Shiva and Parvati seated together on bull Nandi. This unusual sculpture shows the divine couple not on a lotus throne but riding their vahana, the bull Nandi. Shiva sits in front, holding a trident and a drum. Parvati sits behind him, her arms around his waist. Nandi is shown walking, with all four legs visible. The composition is more dynamic than the static seated panels, suggesting movement and travel. This might represent the couple’s procession during festivals when temple icons were taken out on chariots. The carving is less formal than other pieces, with a folk-art quality that suggests it might have been made for a smaller, rural temple. The faces are round and cheerful.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Buddha Head — Pala Period,Bangladesh National Museum,Sculpture,Black Basalt,9th–11th century CE,Bangladesh,Gallery 6,,Excavation find,"Head of Buddha with serene expression, refined Pala style. This fragment is only the head of a Buddha statue, but it is one of the finest examples of Pala Buddhist sculpture. The Buddha’s face is oval with a calm, downcast gaze (half-closed eyes in meditation). The lips are full and slightly curved in a faint smile. The ears are elongated with empty earlobes (from princely earrings he renounced). The hair is arranged in tight spiral curls ending in a pointed ushnisha (cranial bump). The forehead bears the urna (a dot signifying wisdom). The polish is so fine that the stone feels like soap. This head, though detached from its body, conveys an extraordinary sense of peace and transcendence, reflecting the Buddhist ideal of nirvana.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/National_Museum_Dhaka6.jpg/640px-National_Museum_Dhaka6.jpg,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Buddha in Bhumisparsha-mudra with Sapta-Ratnas,Bangladesh National Museum,Buddhist Sculpture,Black Basalt,10th century CE (Pala period),"Ujani, Faridpur District",History and Classical Art,,,"A black stone 10th-century image of the Buddha seated in bhumisparsha-mudra (earth-touching gesture — the gesture of Shakyamuni at the moment of his enlightenment) on a double-petalled lotus throne. Three branches of the Bodhi tree (Ficus religiosa) are shown rising above the figure, situating the scene at Bodh Gaya, the site of the Buddha's awakening. Two Vidyadharas (divine knowledge-bearers) each carrying a garland hover symmetrically against stylised clouds on either side of the composition — celestial witnesses to the enlightenment. The image draws particular scholarly notice for the exceptional iconographic programme of its pedestal: in front of the pedestal, alongside the double vajra (vishva-vajra — the crossed thunderbolt symbol of indestructible reality), the Seven Jewels (sapta-ratna) of a World-Conquering King (Rajachakravartin) are depicted together with offerings and the figure of the donor. The inclusion of the royal sapta-ratna — the seven precious possessions of a universal monarch: the wheel, elephant, horse, jewel, woman, general, and treasurer — alongside the Bodhi-tree enlightenment scene creates a theologically complex image equating the Buddha's spiritual sovereignty with the temporal sovereignty of the ideal world-ruler.",https://drive.google.com/file/d/1DFfPQ_OwxyJI11w8DUkGLKFDvNBv66pJ/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Buddha in Samadhi-mudra under Mahabodhi Shikhara,Bangladesh National Museum,Buddhist Sculpture,Black Basalt,10th century CE (Pala period),"Ujani, Faridpur District",History and Classical Art,102 cm height,,"A large (102 cm high) black basalt image of the Buddha seated in samadhi-mudra — the meditation gesture, hands damaged — under a trefoil arch, above which rises the shikhara (tower) of a temple modelled on the Mahabodhi temple at Bodh Gaya. The Mahabodhi temple shikhara is flanked by standing Vidyadharas and devotees carved in relief, situating the meditating Buddha within the sacred architectural context of the site of his enlightenment. The trefoil arch framing the figure is a compositional device characteristic of the mature Pala period, creating a sanctuary-within-a-sanctuary effect in which the sculpture itself becomes a miniature sacred building. The size of the image — approximately life-scale from the waist upward — indicates it was a major devotional focal point of its original temple context.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Bodhisattva Vajrapani,Bangladesh National Museum,Sculpture,Black Basalt,10th–12th century CE,Bangladesh,Gallery 6,,Excavation find,"Depicts Vajrapani holding thunderbolt, protector of Buddha. Vajrapani is the bodhisattva who wields the vajra (thunderbolt) and acts as the guardian of the Buddha. In this sculpture, he is shown in a fierce, athletic pose, standing with legs apart and holding a raised vajra in his right hand. His left hand makes the tarjani mudra (threatening gesture). He wears a garland of snakes, and his hair is on fire (symbolizing his wrathful energy). Unlike the gentle Avalokiteshvara, Vajrapani is muscular and aggressive, representing the power needed to overcome obstacles on the path to enlightenment. Despite his fearsome appearance, he is a bodhisattva, meaning he uses his power not for destruction but for protection of the dharma.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Astamahabhaya-Tara — Tara Rescuing from Eight Great Perils (Inscribed),Bangladesh National Museum,Buddhist Sculpture — Vajrayana,Black Basalt,10th–12th century CE,"Sompara, Vajrayogini, Munshiganj District",History and Classical Art,,,"The most celebrated Tara sculpture in the BNM collection and one of the most iconographically complex Tara images known from Bengal. The seated goddess is shown in lalitasana or lalitaksepa — the graceful asymmetric seated posture — two-armed in the standard Tara mode. She is attended by Mahamayuri (""Great Peacock Goddess"") to her right and Ekajata (""She of the Single Topknot"") to her left — a specific attendant pairing distinct from the Khadiravani Tara triad, reflecting the iconographic flexibility and liturgical richness of the Tara cult in late Pala Bengal.

What makes this image exceptional is the programme of eight smaller seated Tara figures arranged around the central goddess, each one representing Tara's intervention to rescue a devotee from one of the eight great perils (astamahabhaya): lion, elephant, fire, serpent, robber/enemy, water/flood, imprisonment, and the peril of evil spirits or demons. This iconographic programme — visualising Tara as simultaneously the single central goddess and the eight-fold active rescuer from all of life's great dangers — transforms the sculpture from a single devotional image into a complete miniature cosmological system, making it one of the most theologically sophisticated pieces in the BNM collection.

The type is accordingly named Astamahabhaya-Tara — ""Tara of the Eight Great Perils"" — and is documented in the Sadhanamala as a distinct form of the goddess with its own meditation text and ritual. The Sompara, Vajrayogini provenance connects this image to the site that has yielded some of the most important Buddhist sculptures in Southeast Bengal — confirming the Vajrayogini area of Munshiganj as a major centre of advanced Vajrayana practice and its attendant high-quality sculptural production.

The presence of an inscription recording the donor's name gives this piece exceptional historical value, as named donor inscriptions on Bengal Buddhist sculptures of this period are rare. Together with the Syama Tara inscription (Kayastha Sri Sanghesa-gupta) described in the previous session, it confirms the pattern of lay Kayastha-class patronage for Tara devotional imagery in the late Pala period. This inscription likely records a similar votive dedication formula, naming a specific individual's commission of this sculpture for the benefit of themselves and their family — a tangible, personal connection between a named human being of the 11th or 12th century and the goddess whose protection they sought.",https://drive.google.com/file/d/1DsXhB__1ODetpoWp7RBMPFO61NSQI45l/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
